# ode number ^ line ^ text
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Èxodus 15 : 1 - 19
2^x^Attènde, ċoeli, et loquer, et áudiat terra verba ex ore meo. Exspectétur sicut plúvia appronunziázio mea, et desċèndant sicut ros verba mea, sicut imber super gramen, et sicut nix super foenum. Quia nomen Dòmini invocávi; date magnifiċénziam Deo nostro. Deus, vera ópera eįus, et et omnēs viae eįus įudìċia; Deus fidélis, et non est in eo inìquitas; įûstus et rêctus Dòminus. Peccavérunt, qui non sunt ei, fílii maculáti; ġenerázio prava ac pervèrsa. ¿Haec Dòmino retribuìstis sīc, pòpule stulte et insàpiens? ¿Nonne hic ìpse tuus pàter possédit te, et feċit te, et creávit te? Memorámini diēs sáeculi; intellèġite annos sáeculi saeculórum; intèrroga patrem tuum, et annunziábit tìbi, seniórēs tuos, et diċent tìbi. Quum divìderet Altìssimus ġentēs, quómodo dispèrsit fílios Adámis, stàtuit tèrminos ġèntium secùndum númerum anġelórum Dei. Et facta est pars Dòmini, pòpulus eįus Įacob, funículus haereditátis eįus Ìsraël. Suffiċièntem eum sìbi feċit in terra desèrta, in sìti aestus, ubi non èrat aqua; ċircumívit eum, et erudívit eum, et custodívit eum sicut pupìllam òculi sui. Sicut àquila tèġens nidum suum, et super pùllos suos desiderávit; expàndens àlas suas susċépit eos, atque assúmpsit super scàpulas suas. Dòminus solus duċébat eos, et non èrat cum eīs deus aliénus. Superdúxit eos in virtúte terrae; ċibávit eos frûctus agrórum, suxérunt mel de pètra et óleum de firma pètra. Butýrum bovum, et lac òvium, cum àdipe agnórum et aríetum, filiórum taurórum et hircórum, cum àdipe renum trítici, ex sàngųinem uvae bibuérunt vinum. Et comédit Įacóbus, et implétus est, et recalċitrávit dilèctus; impingųátus, incrassátus, dilatátus, derelíquit Deum factórem suum, et reċèssit a Deo salutári suo. Provocavérunt me in aliénīs; in abominaziónibus suīs exaċerbavérunt. Sacrafiċavérunt daemóniīs et non Deo, deīs quos non nóverant; novi reċentésque vēnérunt, quos non nesċiébant patrēs eórum. Deum, qui te ġènuit dereliquìsti, et oblítus es Dei alèntis te. Et vīdit Dòminus, et żelávit, et exaċerbátus est per iram filiórum suórum et filiárum. Et dîxit: Avèrtam fàċiem meam ab eīs, et ostèndem quid èrit eīs in novìssimo, quia ġenerázio pervèrsa est, fílii in quìbus non est fidēs in ìpsīs. Ìpsi praeżelavérunt me in non Deo; in ira conċitavérunt me in simulácrīs suīs, et ego żelábo eos in non ġente; in ġente insensáta irritábo eos. Quia ignis acċènsus est ab ira mea, et ardébit usque ad infèrnum deósum; devorabìt terram et frûctum eįus; uret fundamènta mòntium. Congregábo in eos màla, et saġìttas meas consummábo in eos. Tabésċent fame, et devorazióne avium, et extensióne nervórum insanábili; dentēs bestiárum mittam in eos, cum furóre trahèntium super terram. A forīs sine fíliīs fàciet eos glàdius, et in promptuáriīs tìmor; įúvenis cum vìrġine, làctens cum stabilíto sène. Dîxi: «Dispèrġem illos; privábo autem ex homìnibus memóriam eórum.» Nisi pròpter iram inimicórum, ne multo tèmpore supèrsint, ne consèntiant adversárii, nec diċant: «Mànus nostra exċèlsa, et non Dòminus, féċit haec òmnia.» Quia ġèns àbsque consìlio est, et non est in eīs prudènzia. Non sapuérunt intellèġere; haec perċìpient in futúro tèmpore. ¿Quómodo persequétur unus mille, et duo movébunt dèċem mìllia? Si non quia Deus vèndidit eos, et Dòminus trádidit eos? Quóniam non sicut dei eórum Deus noster est; inimíci autem nostri insensáti. De vínea ènim Sodomórum, vínea eórum, et propáġo eórum de Gomórae; uva eórum, uva fellis, botrus amaritúdinis ìpsīs. Fùror dragónum vinum eórum, et fùror àspidum insanábilis. Nonne haec àpud me congregáta sunt, et signáta sunt in tesáurīs meīs? In die ulziónis rèddem illīs in tèmpore, quum làpsus fuerit pes eórum; quia prope est dies perdiziónis eórum, et praesto est paráta vobīs.
2^10^Quia įudicábit Dòminus pòpulum suum, et in sèrvīs suīs consolábitur; vīdit ènim infirmátos eos et defèctos in affliczióne et derelìctos.
2^9^Et dîxit Dòminus: «¿Ubi sunt dei eórum, in quìbus confidébant in ìpsīs,
2^8^quorum àdipem sacrifiċiórum illórum comedébant, et bibébant vinum libaziónis eórum? Surġant et àdįuvent vos, et fiant vobīs protectórēs.
2^7^Vidéte, vidéte quóniam ego sum, et non est Deus praeter me; ego occídem et vívere fàċiem; percútiem et ego sanábo, et non est qui erìpiat de mànibus meīs.
2^6^Quia levábo in ċoelum mànum meam, et įurábo per dèxteram meam, et díċem: «Vivo ego in aetérnum.»
2^5^Quia exàcuam sicut fùlgur glàdium meum, et contiébit įudìċium mànus mea, et retrìbuem įudìċium inimícīs, et hīs qui odérunt reddem.
2^4^Inebriábo saġìttas meas sàngųine, et glàdius meus devorábit carnēs, de sàngųine vulneratórum et captivitátis, de càpite prinċipium inimicórum.
2^3^Laetámini ċoeli cum eo, et adórent eum omnēs ànġeli Dei; laetámini ġentēs cum pòpulo eįus, et confirmèntur in eo fílii Dei, quia sàngųinem filiórum suórum vìndicat, et vindicábit, et retrìbuet įudìcium inimícīs suīs, et hīs qui odérunt eum rèddet, et emundábit Dòminus terram pòpuli sui.
2^2^Glória Patri, et Fílio, et Spirìtui Sancto,
2^1^et nunc et semper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Sàmuel 2 : 1 - 10
3^x^Confirmátum est cor meum in Dòmino, et exaltátum est cornu meum in Deo meo; dilatátum est os meum super inimícos meos; laetáta sum in salutári tuo. Quóniam non est sânctus sicut Dòminus, et non est įûstus sicut Deus noster; non est sânctus praeter te. Nolíte gloriári, et nolíte loqui exċèlsa, neque èxeat magnilóquium ex ore vèstro, quóniam Deus sċienziárum Dominus, et Deus práeparans adivenziónēs eįus. Arcus potèntium infirmátus est, et infìrmēs praeċíncti sunt virtútem.
3^10^Pleni pànibus defeċérunt, et esurièntēs transiérunt terram, quóniam stèrilis pèperit sèptem, et quae multa èrat in fíliīs, infirmáta est.
3^9^Dòminus mortìficat et vivìficat, dedúċit in infèrnum et redúċit.
3^8^Dòminus páuperat et ditat, humìliat et exàltat.
3^7^Qui èlevat a terra páuperem, et de stèrcore exàltat ìnopem, ut sèdeat cum potèntibus populórum, et sólium glóriae haereditábit eīs.
3^6^Qui dat oraziónem orànti, et benedíxit annos įustórum, quóniam non in fortitúdine pòtens vir.
3^5^Dòminus infìrnum fàċit adversárium eįus; Dòminus sânctus.
3^5^Non gloriétur prudens in prudènzia sua, et non gloriétur pòtens in potènzia sua, et non gloriétur divēs in divìziīs suīs.
3^4^Sed in hōc gloriétur qui gloriátur, intellèġere et cognósċere  Dòminum, et fàċere įudìċium et įustìziam in mèdio terrae.
3^3^Dòminus asċènsit in coelos et intónuit; ìpse įúdicat sùmma terrae, et dabit fortitúdinem réġibus nostrīs, et exaltábit cornua Christi sui.
3^2^Glória Patri, et Fílio, et Spirìtui Sancto,
3^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Habàccuc 3 : 2 - 19
4^x^Dòmine audívi audiziónem tuam, et tìmui. Dòmine, considerávi ópera tua, et obstùpui. In mèdio duórum animálium, cognósċeris; quum appropinquáverint anni, agnósċeris; quum advénerit tèmpus, demonstráberis; quum turbáta fúerit ànima mea in ira, misericórdiae recordáberis. Deus a Temáne vèniet, et sânctus de monte umbróso et condènso. Opèruit coelos vìrtūs eįus, et laudis eįus plena est terra. Et splèndor eįus quasi lux èrit; córnua in mànibus eįus, et pòsuit dilecziónem robùstam fortitúdinis suae. Ànte fàċiem eįus ibit verbum, et egrediétur in campum post pedēs eįus. Stètit, et commóta est terra; aspèxit, et distabuérunt ġentēs. Contríti sunt montēs violènzia; tabuérunt collēs sáeculi itìnere sempitèrno eįus. Pro iniquitáte vīdi tentória Aethiópiae; turbabùnter pellēs terrae Midiánis. ¿Nùmquid in flumìnibus irátus es Dòmine? ¿Aut in flumìnibus fùror tuus? ¿Vel in mari ìmpetus tuus? Qui asċèndēs super èquos tuos, et equitázio tua sàlūs. «Intèndens extèndēs arcum tuum super sċèptra», diċit Dominus. Flúviīs sċindétur terra. Vidébunt te et dolébunt pòpuli; dispèrġēs aquas itìneris. Dèdit abỳssus voċem suam; altitúdinem fantásiae suae. Elevátus est sol, et luna stètit in órdine suo. In luċe įàcula tua ibunt, in splendóre coruscatiónis armórum tuórum.
4^10^In comminazióne immìnuēs terram, et in furóre détrahēs ġentēs.
4^9^Egrèssus es in salútem pòpuli tui, ut salvárēs christo tuo. Misìsti in càput impiórum mortem; susċitavìsti vìncula usque ad collum.
4^8^Divisìsti in stupóre càpita potèntium; commovebùntur in ea. Apèrient frenos suos, sicut còmedens pauper in abscòndito.
4^7^Et superduxìsti in mari èquos tuos, conturbàntēs aquas multas.
4^6^Custodívi, et extìmuit venter meus a voċe oraziónis lábia labiórum meórum, et ingrèssus est trèmor in òssua mea, et sùbter me conturbáta est fortitúdo mea. Requiésċem in die tribulaziónis meae, ut asċèndam ad pòpulum peregrinaziónis meae.
4^5^Quia ficus non àfferet frûctum, et non èrunt ġèrmina in víneīs. Mentiétur opus olívae, et campi non fàċient escas. Defeċérunt eo quod comèderet òvēs, et non sunt bovēs in praesépibus.
4^4^Ego autem in Dòmino exsultábo; gaudébo super Deo salutári meo. $PRP
4^3^Deus Dòminus fortitúdo mea, et ponet pèdēs meos in consummaziónem. Super exċèlsa impónet me, ut vincam in ċantico eįus.
4^2^Glória Patri, et Fílio, et Spirìtui Sancto,
4^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Isaías 26 : 9 - 20
5^x^De nocte vìġilat spíritus meus ad te, Deus, quia lûx praeċepta tua sunt super terram. Įustìziam dìsċite qui habitátis terram. Čessávit ènim ìmpius; òmnis ènim qui non didìċerit įustìziam super terram, veritátem non fàciet; tollátur ìmpius, ne vìdeat maįestátem Dòmini. Dòmine, exċèlsum bráchium tuum, et nesċivérunt; quum autem cognóverint, confundèntur. Żelus apprehèndit pòpulum inerudítum, et nunc ignis advèrsários consúmet.
5^10^Dòmine Deus noster, pàċem da nobīs; òmnia ènim dedìsti nobīs.
5^9^Dòmine Deus noster, pòsside nos; Dòmine, praeter te àlium non nóvimus; nomen tuum invocábimus.
5^8^Mórtui autem vitam non vidébunt, nèque mèdici exsusċitábunt; ìdeo superinduxìsti, et perdidìsti, et tulìsti omne màsculum eórum.
5^7^Àdde illīs màla, Dòmine, adde màla gloriósīs terrae.
5^6^Dòmine, in tribulazióne mèmor fui tui; in tribulazióne mòdica disċiplína tua facta est nobīs.
5^5^Et sicut partùriens pròxima est pàrtui, et in dolóre suo clamat, ita facti sùmus dilècto.
5^4^Pròpter timórem tuum, Dòmine, in útero acċépimus, et parturívimus spíritum salútis, quem feċìsti super terram, sed càdent qui inhàbitant terram.
5^3^Resùrġent mórtui, et resùrġent qui sunt in monumèntis, et laetabùnter qui in terra; ros ènim qui a te est, sanitas est illīs; terra vero impiórum períbit.
5^2^Glória Patri, et Fílio, et Spirìtui Sancto,
5^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Įonas 3 : 26 - 56
6^x^Clamávi de tribulazióne mea ad Dòminum, et exaudívit me;
6^10^de ventre ìnferi clamávi, et exaudivìsti voċem meam.
6^9^Et proįeċìsti me in profùndum in corde maris, et flumen ċircùmdedit me; omnēs gùrġitēs tui et flûctūs tui super me transiérunt.
6^8^Et ego dîxi: Abįèctus sum a òculīs tuīs. ¿Putâsne addem ut vìdeam templum sânctum tuum?
6^7^Ċircumfúsa est mìhi aqua usque ad ànimam meam; abỳssus vallávit me novìssima, intrávit càput meum.
6^6^Ad sċissúra mòntium desċènsi in terram, cuįus vectēs sunt retináculua sempitèrna, et asċèndet de corrupzióne vita mea ad te, Dòmine Deus meus.
6^5^Quum defìceret ex me ànima mea, Dòmini recordátus sum, ut vèniat ad te orázio mea ad templum sânctum tuum.
6^4^Qui custódiunt vana et mendácia, misericórdiam suam reliquérunt.
6^3^Ego autem cum voċe laudis et confessiónis immolábo tìbi; quaecùmque vovi, rèddem tìbi salutáre Dòmino.
6^2^Glória Patri, et Fílio, et Spirìtui Sancto,
6^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Dàniel 3 : 26 - 56
7^x^Benedìctus es, Dòmine, Deus patrum nostrórum, et laudábile, et gloriósum nomen tuum in sáecula, quia įûstus es in òmnibus, quae feċìsti nobīs, et univèrsa ópera tua vera, et viae tuae rêctae, et òmnia iudícia tua vera. Įudìċia ènim vera feċìsti įuxta òmnia, quae induxìsti super nos, et super zivitátem sânctam patrum nostrórum Hierosòlymam: quia in veritáte, et in įudìċio induxìsti òmnia haec pròpter peccáta nostra. Peccávimus ènim, et iníque égimus reċedèntēs a te, et delíquimus in òmnibus, et praeċèpta tua non audívimus, nec observávimus, nec féċimus sicut praeċéperas nobīs ut bène nobīs esset. Òmnia èrgo, quae induxìsti super nos, et univèrsa, quae feċìsti nobīs, in vero įudìċio fecìsti, et tradidìsti nos in mànibus inimicórum nostrórum iniquórum, et pessimórum, praevaricatorùmque, et reġi inįústo, et pèssimo ultra òmnem terram. Et nunc non pòssumus aperíre os; confúsio et oppróbrium facti sùmus sèrvīs tuīs, et hīs qui còlunt te. Ne, quáesumus, tradas nos in perpètuum pròpter nomen tuum, et ne dìssipēs testamèntum tuum, nèque áuferas misericórdiam tuam a nobīs, propter Abrahámum, dilêctum tuum, et Isàcum, servum tuum, et Israélem, sânctum tuum, quibus locútus es pòlliċens quod multiplicárēs semen eórum sicut stellas ċoeli, et sicut arénam, quae est in lítore maris, quia Dòmine imminúti sùmus plus quam omnēs ġentēs, sumúsque húmilēs in univèrsa terra hódie pròpter peccáta nostra. Et non est in tèmpore hoc prinċeps, et dûx, et prophéta, neque holocáustum, neque sacrifìċium, neque oblázio, neque inċènsum, neque locus primiziárum coram te, ut possímus inveníre misericórdiam tuam: sed in ànimo contríto, et spíritu humilitátis susċipiámur. Sicut in holocáusto aríetum, et taurórum, et sicut in mìllibus agnórum píngųium; sic fiat sacrifìċium nostrum in conspèctu tuo hódie, ut plàċeat tìbi, quóniam non est confúsio confidèntibus in te. Et nunc sèquimur te in toto corde, et timémus te, et quáerimus fàċiem tuam. Nec confùndas nos, sed fac nobíscum įuxta mansųetúdinem tuam, et secùndum multitúdinem misericórdiae tuae. Et érue nos in mirabílibus tuis, et da glóriam nómini tuo Dòmine: et confundàntur omnēs, qui ostèndunt servīs tuīs mala; confundàntur in omni potènzia tua, et robur eórum conterátur, et sċiant quia tu es Dòminus Deus solus, et gloriósus super orbem terrárum. Et non ċessábant qui míserant eos minìstri reġis sucċèndere fornáċem, nàfta, et stupa, et piċe, et sarmèntīs, et effundebátur flàmma super fornáċem cúbitīs quadraġìnta novem, et erúpit, et inċèndit quos rèperit įuxta fornáċem de Chaldéīs.
7^10^Ànġelus autem Dòmini desċèndit cum Asaría, et sóċiīs eįus in fornáċem, et excùssit flàmmam ignis de fornáċe,
7^9^et feċit mèdium fornáċis quasi ventum roris flàntem, et non tètiġit eos omníno ignis, nèque contristávit, nec quìdquam molèstiae ìntulit.
7^8^Tunc hi três quasi ex uno ore laudábant, et glorificábant, et benediċébant Deum in fornáċe, diċèntēs:
7^7^Benedìctus es Dòmine Deus patrum nostrórum, et laudábilis et gloriósus et superexaltátus in sáecula. Et benedìctum nomen glóriae tuae sânctum, et laudábile et superexaltátum in òmnibus sáeculīs.
7^6^Benedìctus es in templo sâncto glóriae tuae, et superlaudábilis et supergloriósus in sáecula.
7^5^Benedìctus es in throno regni tui, et superlaudábilis et superexaltátus in sáecula.
7^4^Benedìctus es qui intuéris abỳssos, et sèdēs super ċerubína, et laudábilis et superexaltátus in sáecula.
7^3^Benedìctus es in firmamènto coeli, et laudábilis et gloriósus in sáecula.
7^2^Glória Patri, et Fílio, et Spirìtui Sancto,
7^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Dàniel 3 : 57 - 88
8^x^Benedíċite òmnia ópera Dòmini Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite ànġeli Dòmini Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite ċoeli Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite aquae omnēs, quae super ċoelos sunt, Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite omnēs virtútēs Dòmini Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite sol et luna Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite stellae ċoeli Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite omnis imber et ros Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite omnēs spíritus Dei Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite ignis et aestus Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite frigus et càlor Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite rorēs et pruína Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite ġelu et àlgor Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite glàziēs et nivēs Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite noctēs et diēs Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite lûx et tènebrae Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite fùlgura et nubēs Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċat terra Dòminum; laudet et superexáltet eum in sáecula.
8^x^Benedíċite montēs et collēs Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite univèrsa ġerminànzia in terra Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite fontēs Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite mária et flúmina Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite ballénae et òmnia quae movèntur in aquīs Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite omnēs volácrēs ċoeli Dòmino; laudáte et superexaltáte eum in sáecula.
8^x^Benedíċite omnēs bestiae et pècora Dòmino; laudáte et superexaltáte eum in sáecula.
8^10^Benedíċite fílii hòminum Dòmino; laudáte et superexaltáte eum in sáecula.
8^9^Benedíċat Ìsraël Dòminum; laudet et superexáltet eum in sáecula.
8^8^Benedíċite sacerdótēs Dòmini Dòmino; laudáte et superexaltáte eum in sáecula.
8^7^Benedíċite sèrvi Dòmini Dòmino; laudáte et superexaltáte eum in sáecula.
8^6^Benedíċite spíritus et ànimae įustórum Dòmino; laudáte et superexaltáte eum in sáecula.
8^5^Benedíċite sâncti et húmilēs corde Dòmino; laudáte et superexaltáte eum in sáecula.
8^4^Benedíċite Ananía, Ażaría, et Mísaël Dòmino; laudáte et superexaltáte eum in sáecula.
8^3^Benedíċite Apòstoli, Prophétae, et Màrtyrēs Dòmini Dòmino; laudate et superexaltáte eum in sáecula.
8^2^Glória Patri, et Fílio, et Spirìtui Sancto,
8^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# Secùndum Lucam 1 : 46 - 55, 68 - 79} 
9^x^Magnìficat ànima mea Dòminum, et exsultávit spíritus meus in Deo salutári meo. Quia respèxit humilitátem anċìllae suae, ecce ènim ex hōc beátam me díċent omnēs ġeneraziónēs. Quia féċit mìhi màgna qui pòtens est, et sânctum nomen eįus. Et misericórdia eįus a proġènie in proġèniēs timèntibus eum. Féċit potènziam in bráchio suo; dispèrsit supèrbos mente cordis sui. Depósuit potèntēs de sede, et exaltávit húmilēs. Esurièntēs implévit bonīs, et dívitēs dimísit inánēs. Susċépit Israélem púerum súum; recordátus misericórdiae suae. Sicut locútus est ad patrēs nostros; Abrahámi et sémini eįus in sáecula. Benedìctus Deus Israélis, quia visitávit et fécit redempziónem plebi suae, et erèxit cornu salútis nobīs in domu Davídis púeri sui; sicut locútus est per os sanctórum, qui a sáeculo sunt profetárum eįus, salútem ex inimícīs nostrīs, et de manu òmnium qui odérunt nos;
9^10^ad faċièndam misericórdiam cum pátribus nostrīs, et memorárī testamènti sui sâncti,
9^9^įusįuràndum quod įurávit ad Ábraham patrem nostrum,
9^8^datúrum se nobīs, de manu inimicórum nostrórum liberáti, ut sine timóre serviámus illi,
9^7^in sanctitáte et įustìzia coram ìpso òmnibus diébus nostrīs.
9^6^Et tu, puer, prophéta Altìssimi vocáberis; praeíbis ènim ànte fàċiem Dòmini paráre vias eįus,
9^5^ad dàndam sċiènziam salútis plebi eįus in remissiónem peccatórum eórum,
9^4^per vìsċera misericórdiae Dei nostri; in quìbus visitávit nos óriens ex alto;
9^3^inlumináre hīs qui in tènebrīs et in ùmbra mortis sedent ad diriġèndos pèdēs nostros in viam paċis.
9^2^Glória Patri, et Fílio, et Spirìtui Sancto,
9^1^et nunc et sèmper, et in sáecula saeculórum. Amen.
